index,episode no,name,line
0,251,anwar, السلام علیکم، دوست ٹاک کے ساتھ انور مقصود آپ کی خدمت میں。 دوست ٹاک میں جو آج میرے مہمان ہیں وہ ہارمونیم نواز ہیں۔ 
1,251,moeen,سنئے فرندز کم، السلام علیکم۔ 
2,251,anwar,سیاہ تھے رنگ مت دیجیۓ۔ سیاہ تھے رنگ مت دیجیۗ۔ صرف ہارمونیم والے صاحب بیٹھے ہیں وہ کہیے۔ جو شنائی بجاتا ہے اس کو شنائی نواز کہتے ہیں، جسے سیتار بجاتا ہے اس کو سیتار نواز کہتے ہیں۔ تو میں نے آپ کو ہارمونیم نواز کہا ہے اس میں سیاسی رنگ کہاں سے آیا؟ 
3,251,moeen,میں کیا بجا رہا ہوں- 
4,251,anwar,ہارمونیم۔ 
5,251,moeen,ہارمونیم بجا رہا ہوں- تو بولیں ہارمونیم والے صاحب، سیاہ تھے رنگ مت دیجیے۔ 
6,251,anwar,اچھا ٹھیک ہے- 
7,251,moeen,هارمونیم نواز جی سی سب نہیں۔ اب آپ نے دیکھا- 
8,251,anwar,جی- 
9,251,moeen,ہارمونیم نواز ۔ 
10,251,anwar,اچھا میں کبھی اسی طرح کی بات کرتا نہیں۔ مگر میں- ایک- یہ ہارمونیم مجھے ایسا لگ رہا ہے جیسے آپ کے دانت جو ہیں نا یہ بالکل ہارمونیم کی طرح لگ رہے ہیں۔ بہت اچھے لگ رہے ہیں مجھ کو۔ 
11,251,moeen,مجھے پہلے بھی کئی دفعہ لوگوں نے کہا- 
12,251,anwar,ہاں- 
13,251,moeen,اور میں خوش ہوتا ہوں- 
14,251,anwar,اچھا- 
15,251,moeen,ایسی باتوں سے میں خوش ہوتا ہوں- 
16,251,anwar,اچھا- 
17,251,moeen,اب یہ دیکھو نا  اس میں تیسرا کالا غائب ہے، تیسرا کالا- تیسرا کالا میں نے بننے بھیجا ہے- 
18,251,anwar,اچھا- 
19,251,moeen,تم یہ یہاں پر میرے ساتھ ماحول کرنے آئے ہو یا مجھے مجھ سے انٹرویو کرنے آئے ہو- 
20,251,anwar,اچھا یہ ہارمونیم بجانے کا شوق ہے آپکو- 
21,251,moeen,کیا- 
22,251,anwar,ہارمونیم بجانے کا شوق ہے- 
23,251,moeen,ابے سالے جو- معاف کرنا- 
24,251,anwar,تمیز سے، تمیز سے- 
25,251,moeen,میں گُرسے میں اداس نکل جاتا ہوں۔ جب ہارمونیم بجا رہا ہوں تو ظاہر ہے  ہارمونیم بجانے کا شوق ہے  لیکن شوق مجھے کچھ اور بھی ہے- 
26,251,anwar,اور کونسے شوق ہیں؟ 
27,251,moeen,اگلا سوال کرو ۔ 
28,251,anwar,ہارمونیم کیوں بجا رہے ہیں ? ہارمونیم کیوں بجا رہے ہیں؟ 
29,251,moeen,دھن بنا رہے ہیں- 
30,251,anwar,کون سی دھن بنا رہے ہیں؟ 
31,251,moeen,ہم- 
32,251,anwar,کون سی دھن بنا رہے ہیں؟ 
33,251,moeen,ایک دھن بنا رہے ہیں لیکن دھن بن نہیں رہی ہے- 
34,251,anwar,کیوں بن رہی ہے؟ 
35,251,moeen,دھن اسی لیے بن رہی ہے کہ ہارمونیم بجانا نہیں آتا۔ روزی میرے اوپر بیٹھی ہے، میں جھوٹ نہیں بول رہا ہارمونیم بجانا نہیں آتا مجھے-  
36,251,anwar,جب آپکو ہارمونیم بجانا نہیں آتا تو پھر کیوں بجا رہے ہیں؟ 
37,251,moeen,اسی لیے ہارمونیم بجا رہے ہیں کہ والد جو تھے، ابا ہمارے وہ یہ ہارمونیم چھوڑ کے مری تھے- 
38,251,anwar,تو ابا ہارمونیم بجاتے تھے- 
39,251,moeen,نہیں، ابا ہارمونیم کھاتے تھے، ابے سالے- 
40,251,anwar,تمیز- 
